"user","transAmount","maxMoney","minMoney","avgMoney","IP","label"
"411139468009621","12322.094","12322.094","9642.9","10982.497","1",
"411139468009621","9642.9","12322.094","9642.9","10982.497","1",
"280160987381163","10179.45864","13541.9605","1981.776279","7353.541","1",
"280160987381163","1981.776279","13541.9605","1981.776279","7353.541","1",
"280160987381163","13541.9605","13541.9605","1981.776279","7353.541","1",
"280160987381163","3710.97","13541.9605","1981.776279","7353.541","0",
"280757683087971","5579.957","9085.694","5579.957","7163.358","0",
"280757683087971","6390.206","9085.694","5579.957","7163.358","1",
"280757683087971","9085.6940","9085.694","5579.957","7163.358","0",
"280757683087971","5803.4351","9085.694","5579.957","7163.358","1",
"280757683087971","8957.5","9085.694","5579.957","7163.358","0",
"645204672261870","8217.47","8217.47","4177.905389","6497.586","1",
"645204672261870","4177.905389","8217.47","4177.905389","6497.586","0",
"645204672261870","7097.382","8217.47","4177.905389","6497.586","0",
"490649949847001","11572.74663","11572.74663","11572.74663","11572.747","0",
"639472213453433","2791.2102","6666.851212","2791.2102","4729.031","1",
"639472213453433","6666.851212","6666.851212","2791.2102","4729.031","0",
"072333622675359","7439.68234","7439.68234","2969.707","5204.695","1",
"072333622675359","2969.707","7439.68234","2969.707","5204.695","1",
"066665275718647","4561.7511","4561.7511","4561.7511","4561.751","0",
"322712431340538","6017.1441","10821.4","4198.877603","7012.474","1",
"322712431340538","10821.4","10821.4","4198.877603","7012.474","0",
"322712431340538","4198.877603","10821.4","4198.877603","7012.474","1",
"914655692451100","1761.03","11176.63","617.82475","5517.882","1",
"914655692451100","617.82475","11176.63","617.82475","5517.882","1",
"914655692451100","11176.63","11176.63","617.82475","5517.882","0",
"914655692451100","8516.042","11176.63","617.82475","5517.882","1",
"987015951581590","10254.0","10254.0","306.21566","5690.809","0",
"987015951581590","306.21566","10254.0","306.21566","5690.809","0",
"987015951581590","6512.211","10254.0","306.21566","5690.809","1",
"440038000304862","6874.430448","10438.8","2531.86373","5158.247","1",
"440038000304862","2819.10046","10438.8","2531.86373","5158.247","1",
"440038000304862","2531.86373","10438.8","2531.86373","5158.247","1",
"440038000304862","3127.040","10438.8","2531.86373","5158.247","0",
"440038000304862","10438.80","10438.8","2531.86373","5158.247","0",
"753761259489846","4894.5","8050.6","1080.6052","4675.235","0",
"753761259489846","8050.6","8050.6","1080.6052","4675.235","1",
"753761259489846","1080.6052","8050.6","1080.6052","4675.235","0",
"640221863136701","5898.3262","7572.877","5898.3262","6767.651","1",
"640221863136701","6831.75","7572.877","5898.3262","6767.651","1",
"640221863136701","7572.877","7572.877","5898.3262","6767.651","0",
"702999150079051","7237.91","14171.95","1876.2771","9117.571","1",
"702999150079051","11400.72","14171.95","1876.2771","9117.571","1",
"702999150079051","10901.0","14171.95","1876.2771","9117.571","0",
"702999150079051","1876.2771","14171.95","1876.2771","9117.571","0",
"702999150079051","14171.95","14171.95","1876.2771","9117.571","0",
"355853631341016","603.561","10935.9","603.561","5794.409","0",
"355853631341016","4086.343","10935.9","603.561","5794.409","1",
"355853631341016","8574.14","10935.9","603.561","5794.409","1",
"355853631341016","4772.10","10935.9","603.561","5794.409","1",
"355853631341016","10935.9","10935.9","603.561","5794.409","1",
"179947192559444","8752.091026","8752.091026","5997.097","7374.594","1",
"179947192559444","5997.097","8752.091026","5997.097","7374.594","0",
"249864583073277","2781.39276","16107.351","2781.39276","8582.551","1",
"249864583073277","6858.91","16107.351","2781.39276","8582.551","1",
"249864583073277","16107.351","16107.351","2781.39276","8582.551","0",
"740159580529412","10362.80775","10362.80775","2243.35377","6490.240","1",
"740159580529412","2243.35377","10362.80775","2243.35377","6490.240","0",
"740159580529412","7684.1094","10362.80775","2243.35377","6490.240","0",
"740159580529412","4936.2","10362.80775","2243.35377","6490.240","1",
"740159580529412","7224.73","10362.80775","2243.35377","6490.240","1",
"742352231384457","11253.6","11253.6","6618.23707","9633.626","1",
"742352231384457","6618.23707","11253.6","6618.23707","9633.626","0",
"742352231384457","11029.040518","11253.6","6618.23707","9633.626","0",
"620181886616316","7427.864636","8811.41","4087.89","6775.722","0",
"620181886616316","8811.41","8811.41","4087.89","6775.722","1",
"620181886616316","4087.89","8811.41","4087.89","6775.722","0",
"357499549010178","8856.22125","8856.22125","2926.898635","5891.560","0",
"357499549010178","2926.898635","8856.22125","2926.898635","5891.560","0",
"619364342147026","16867.9","16867.9","6053.7","10833.002","1",
"619364342147026","9577.4066","16867.9","6053.7","10833.002","0",
"619364342147026","6053.7","16867.9","6053.7","10833.002","0",
"192299027799766","9202.335","15841.572056","9202.335","12521.954","0",
"192299027799766","15841.572056","15841.572056","9202.335","12521.954","1",
"199083426082539","2923.866774","6501.099","2923.866774","4712.483","1",
"199083426082539","6501.099","6501.099","2923.866774","4712.483","0",
"657383502395841","8955.9349","13846.298","5485.27","9108.064","0",
"657383502395841","5485.27","13846.298","5485.27","9108.064","1",
"657383502395841","8144.75453","13846.298","5485.27","9108.064","1",
"657383502395841","13846.298","13846.298","5485.27","9108.064","0",
"451720935602053","4454.419","7115.4","4454.419","5784.910","1",
"451720935602053","7115.4","7115.4","4454.419","5784.910","0",
"758873575546153","9926.1261","15302.9","9926.1261","12052.472","0",
"758873575546153","15302.9","15302.9","9926.1261","12052.472","1",
"758873575546153","10928.39","15302.9","9926.1261","12052.472","0",
"231559474418777","5781.41027","5781.41027","5781.41027","5781.410","1",
"651496528546894","9049.6","9785.3","6327.809","8313.583","0",
"651496528546894","6327.809","9785.3","6327.809","8313.583","1",
"651496528546894","9785.3","9785.3","6327.809","8313.583","1",
"651496528546894","8091.6242","9785.3","6327.809","8313.583","0",
"816565478332859","2499.84","10683.95","1273.276","4819.022","0",
"816565478332859","1273.276","10683.95","1273.276","4819.022","0",
"816565478332859","10683.95","10683.95","1273.276","4819.022","1",
"569979670949408","6852.747","18347.90318","1271.971","8218.055","0",
"569979670949408","6399.5969","18347.90318","1271.971","8218.055","0",
"569979670949408","1271.971","18347.90318","1271.971","8218.055","1",
"569979670949408","18347.90318","18347.90318","1271.971","8218.055","1",
"030314800953807","12410.02","12410.02","5209.19","8089.993","1",
"030314800953807","6650.77","12410.02","5209.19","8089.993","1",
"030314800953807","5209.19","12410.02","5209.19","8089.993","1",
"220781834383600","9593.5","9593.5","5182.08","7383.314","1",
"220781834383600","7374.3625","9593.5","5182.08","7383.314","1",
"220781834383600","5182.08","9593.5","5182.08","7383.314","1",
"285552104781678","5578.12059","9382.6","5578.12059","7480.360","0",
"285552104781678","9382.6","9382.6","5578.12059","7480.360","1",
"103354631397451","9990.979","9990.979","8470.6","9262.680","1",
"103354631397451","9326.461","9990.979","8470.6","9262.680","1",
"103354631397451","8470.6","9990.979","8470.6","9262.680","1",
"251114014930398","10291.0370","15147.753359","4952.9549","8289.296","0",
"251114014930398","15147.753359","15147.753359","4952.9549","8289.296","0",
"251114014930398","4985.46395","15147.753359","4952.9549","8289.296","0",
"251114014930398","4952.9549","15147.753359","4952.9549","8289.296","0",
"251114014930398","6941.50","15147.753359","4952.9549","8289.296","0",
"251114014930398","7417.067447","15147.753359","4952.9549","8289.296","0",
"222673372652178","14620.8184","14620.8184","6297.78041","11159.265","1",
"222673372652178","6297.78041","14620.8184","6297.78041","11159.265","1",
"222673372652178","12559.19493","14620.8184","6297.78041","11159.265","1",
"193274934471742","12743.4805","12743.4805","7909.16538","10171.315","1",
