@relation data_train

@attribute time numeric
@attribute amount numeric
@attribute label numeric

@data
101,1097.9352,0
101,1252.3215,0
101,1246.8767,0
101,1189.276,0
101,988.2404,0
102,997.6292,0
102,1510.5493,0
102,967.4382,0
102,972.3992,0
102,783.0496,0
102,1173.2478,0
102,1046.0198,0
103,927.7766,0
103,770.7847,0
103,1045.8336,0
103,851.5117,0
103,1225.6483,0
104,1228.0014,0
104,630.0524,0
105,1223.9383,0
105,1167.924,0
105,1216.0681,0
105,1256.3152,0
105,1076.0631,0
105,1526.5828,0
107,1407.8359,0
107,1188.8823,0
107,797.4967,0
107,1269.3642,0
107,1262.69,0
108,1578.1956,0
110,1183.3257,0
111,910.5184,0
111,1118.2676,0
112,1036.1157,0
113,1079.2862,0
113,955.0021,0
114,1108.8097,0
114,1137.2583,0
114,1564.0442,0
115,1186.6104,0
115,1448.4851,0
117,1255.4195,0
118,1046.0126,0
118,1468.6461,0
118,909.2191,0
121,1256.3068,0
124,903.8497,0
125,1231.4223,0
126,1351.5881,0
201,1326.473,0
201,1233.6651,0
201,1056.5737,0
201,1187.1674,0
202,1146.8539,0
202,899.4883,0
202,1433.3828,0
203,1105.4865,0
203,1010.5624,0
203,1017.7032,0
204,1260.26,0
204,1308.8838,0
204,1080.0751,0
205,1192.3205,0
205,1325.9025,0
205,1048.9693,0
205,1001.1902,0
205,836.014,0
206,1441.651,0
206,1049.8464,0
206,1174.7938,0
206,1070.4942,0
206,1026.4014,0
206,1103.395,0
206,864.202,0
206,1039.4598,0
206,1299.8383,0
206,747.902,0
207,1236.8143,0
207,1276.0143,0
208,770.1827,0
209,923.7841,0
209,1217.6613,0
210,1098.0414,0
211,1269.8822,0
211,1004.7326,0
211,1599.4714,0
212,1225.0681,0
212,1092.5226,0
214,1214.4,0
215,1030.7225,0
216,1634.0372,0
216,1135.115,0
216,1106.0331,0
217,1017.1886,0
218,563.2613,0
221,1244.2136,0
224,822.9087,0
227,1011.143,0
227,937.7601,0
301,1173.5761,0
301,1252.7792,0
301,1370.7213,0
302,1280.6183,0
302,1036.4608,0
302,701.8545,0
302,1270.6171,0
303,972.9275,0
303,1038.2401,0
303,1053.5611,0
304,486.7576,0
304,1419.3691,0
304,1072.4232,0
305,1233.6681,0
305,1434.9882,0
305,879.7921,0
306,1314.1701,0
306,1180.3541,0
306,950.3976,0
306,893.7471,0
306,644.7588,0
306,1024.8905,0
307,744.6722,0
307,1315.5383,0
307,1328.0126,0
307,979.5788,0
307,1093.4455,0
307,1129.5012,0
307,1211.6061,0
307,1123.3222,0
308,1079.2942,0
308,1232.5785,0
308,977.07,0
309,969.5123,0
309,1485.5356,0
310,1332.5595,0
310,1477.7955,0
311,1352.1759,0
312,973.0437,0
313,790.5023,0
316,943.447,0
316,838.6402,0
316,1092.6557,0
317,1376.5261,0
318,1106.8343,0
320,1204.2168,0
321,1033.6386,0
321,937.4288,0
322,1207.78,0
323,954.5118,0
401,1019.87,0
401,1016.5013,0
401,1217.8679,0
401,1207.571,0
401,1258.2179,0
402,1057.0214,0
402,1108.3414,0
402,1079.1089,0
402,1007.6565,0
403,1173.1587,0
403,1206.8224,0
403,1117.0605,0
403,1106.9336,0
403,1555.3217,0
403,1235.3182,0
404,1366.7128,0
404,1238.5574,0
405,1035.6554,0
405,1229.1023,0
405,1353.4806,0
405,1090.4341,0
405,1010.755,0
406,953.77,0
406,1342.9356,0
407,1389.1552,0
407,1368.9678,0
407,655.4046,0
407,1328.6049,0
407,944.3737,0
407,1333.3816,0
408,1025.2925,0
408,1297.0514,0
409,1268.7049,0
409,1330.7588,0
409,1395.597,0
410,880.3196,0
410,1223.2661,0
410,1090.8154,0
411,752.8122,0
412,1056.2863,0
416,1119.7719,0
416,970.322,0
418,813.4719,0
418,676.5712,0
419,1438.6657,0
421,563.7856,0
421,1045.5702,0
421,984.6818,0
426,1276.2769,0
427,1308.4313,0
502,1069.4566,0
502,997.6914,0
502,1406.2344,0
503,1185.9404,0
503,1102.9638,0
503,1011.5478,0
503,991.2051,0
503,1462.2832,0
503,870.7976,0
504,777.4068,0
504,1300.5592,0
504,1427.4659,0
504,868.7479,0
504,1165.0304,0
505,1175.2505,0
505,931.9682,0
505,1106.3001,0
505,1083.0166,0
505,1206.8314,0
505,1394.4978,0
506,1140.9564,0
506,1082.0498,0
506,829.3918,0
506,1278.0339,0
506,1258.1561,0
506,1403.5981,0
507,944.1188,0
507,1029.0351,0
507,1100.2903,0
507,1255.0004,0
509,793.043,0
509,1201.6233,0
509,974.9674,0
509,1240.8277,0
511,948.6028,0
511,1416.2422,0
512,830.0494,0
512,1043.2914,0
513,674.5685,0
513,1076.3737,0
515,1181.7952,0
516,989.1183,0
517,1015.2131,0
518,1178.7832,0
518,917.5496,0
520,995.8138,0
521,1281.702,0
523,1107.717,0
526,1464.7081,0
527,1267.2277,0
601,1202.4094,0
601,1373.0091,0
601,1196.7944,0
602,1045.7043,0
602,1076.9835,0
602,1418.9523,0
602,1051.703,0
602,1318.9751,0
603,923.5125,0
603,1064.2861,0
603,1355.1459,0
603,1242.3059,0
604,1046.3945,0
604,1050.0209,0
604,1378.1878,0
604,1252.6377,0
605,1166.4933,0
606,1020.334,0
606,797.0096,0
606,1402.3602,0
606,1158.176,0
606,1160.9607,0
606,879.8309,0
607,1179.004,0
607,1271.2693,0
607,1092.0514,0
607,859.2078,0
607,1300.625,0
607,701.1446,0
607,1265.2451,0
608,955.0255,0
609,1073.1373,0
610,1363.2037,0
610,1230.8855,0
610,1167.4531,0
610,1413.3106,0
611,1069.9517,0
611,872.2483,0
611,1474.9406,0
613,929.9274,0
615,1091.474,0
615,1108.6431,0
616,1356.2937,0
617,869.8833,0
619,697.7745,0
619,1116.5681,0
619,1008.2194,0
621,1098.8483,0
624,1027.5922,0
625,992.0374,0
701,1435.627,0
701,1256.5438,0
701,1176.8263,0
701,1274.3162,0
702,1033.6373,0
702,772.0663,0
702,1207.3167,0
702,1158.933,0
702,1028.8789,0
702,1386.8776,0
703,1321.355,0
703,1126.8069,0
703,1362.4796,0
703,831.6051,0
703,1236.9503,0
703,1433.3504,0
704,918.8581,0
704,862.1204,0
704,871.7245,0
704,1285.4941,0
704,1020.1021,0
705,678.5182,0
706,843.5236,0
706,996.1187,0
706,885.0227,0
706,886.4369,0
707,1352.6406,0
707,1276.5971,0
707,1152.0481,0
707,939.8656,0
709,1092.6441,0
709,1297.5701,0
709,1200.1719,0
710,1084.7566,0
710,1278.3993,0
712,1308.1472,0
713,1396.8533,0
714,987.9986,0
714,1038.694,0
714,1168.5743,0
715,1048.2243,0
715,1309.9031,0
716,1300.2664,0
717,1516.5631,0
718,973.923,0
719,1090.7154,0
721,812.6814,0
723,844.3603,0
723,1246.0934,0
727,960.4218,0
801,1139.4486,0
801,817.6897,0
801,991.8549,0
801,953.6586,0
802,1106.1558,0
802,1253.6128,0
803,1134.4065,0
804,1131.2365,0
804,916.4608,0
804,1274.9294,0
804,1415.4788,0
804,1235.3771,0
804,1027.9225,0
804,1075.2705,0
804,1131.1333,0
804,940.2077,0
804,1413.1044,0
804,1024.8551,0
805,916.6576,0
805,941.6251,0
806,1065.4254,0
806,975.7855,0
806,1443.9423,0
806,1119.6676,0
806,1033.5426,0
806,1220.3561,0
807,1477.9411,0
807,1321.18,0
807,1512.5462,0
807,824.2609,0
808,1106.4044,0
809,1291.0136,0
809,587.3153,0
810,1511.4273,0
811,1137.9133,0
811,829.3407,0
811,1480.0064,0
813,998.0776,0
814,1223.6027,0
814,1665.7676,0
816,1035.5504,0
818,924.1776,0
818,1562.9542,0
820,937.9737,0
820,1149.7625,0
820,1162.4204,0
820,989.6118,0
825,701.2099,0
825,1064.7838,0
827,912.9965,0
901,1067.969,0
901,1177.215,0
901,1125.1966,0
901,1029.6142,0
901,1348.7173,0
902,983.5291,0
902,1121.1452,0
902,1099.5636,0
902,1266.999,0
903,1424.8089,0
903,683.8284,0
903,1238.0012,0
904,840.6273,0
904,1162.9108,0
905,1547.0947,0
905,1286.1575,0
905,837.8194,0
905,942.4644,0
905,916.8704,0
905,1242.2634,0
905,1313.9327,0
906,1099.0441,0
906,1296.9447,0
906,880.3595,0
906,1177.4365,0
906,826.8225,0
906,1328.7643,0
907,1386.1091,0
